	RUT	N°ALUMNO	SEXO	CURRICULUM	CODIGO PROGRAMA	PROGRAMA	CODIGO PREFERENCIA ESPECIALIDAD	PREFERENCIA ESPECIALIDAD	CODIGO PREFERENCIA MAJOR	PREFERENCIA MAJOR	CODIGO MAJOR SELECCIONADO	MAJOR SELECCIONADO	CODIGO MINOR SELECCIONADO	MINOR SELECCIONADO	TRACK/ÁREA	PLAN DE ESTUDIOS PERSONALIZADO	ESTADO	AÑO INGRESO	VÍA DE INGRESO	TIPO INGRESO ESPECIAL	PROM. PPA	TOTAL CRÉDITOS APROBADOS	TOTAL CRÉDITOS CONVALIDADOS	TOTAL CRÉDITOS APROBADOS+CONVALIDADOS	TOTAL CRÉDITOS REPROBADOS	TOTAL CRÉDITOS INSCRITOS	ESTUDIOS VIGENTES(PARALELO)	ESTUDIOS NO VIGENTES(FINALIZADOS POR ALGÚN MOTIVO)	LICENCIADO	FECHA LIC.	EGRESADO	FECHA EGR.	TITULADO	COLEGIO REGIÓN	COLEGIO TIPO	COLEGIO EGRESO	ESTADO DSRD ACTUAL	TIPO INGRESO	PUESTO
10	173	173	F	C2013	40013	ING CIVIL	 	 	81005	MAJOR EN GEOCIENCIAS	81005	MAJOR EN GEOCIENCIAS	81136	MINOR DE PROFUNDIDAD EN PELIGROS GEOLÓGICOS		NO	REGULAR	2013	ESPECIAL	ENSENANZA MEDIA EN EL EXTRANJERO	"5,15"	410	0	410	70	505	ING CIVIL		NO		NO		NO	No	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	
11	487	487	M	C2013	40013	ING CIVIL	 	 	 	 	 	 	 	 	 	NO	NO VIGENTE RENDIMIENTO ACADEMICO	2013	ESPECIAL	INVIDENTE O DEFICIENCIA PERMANENTE	"0,00"	30	0	30	85	115		ING CIVIL()	NO		NO		NO	I	PARTICULAR FINANCIAMIENTO COMPARTIDO		334	-	
12	33	33	F	C2013	40013	ING CIVIL	 	 	81002	MAJOR EN SISTEMAS DE TRANSPORTE	81001	MAJOR EN INGENIERÍA QUÍMICA	81114	MINOR DE AMPLITUD EN SISTEMAS DE TRANSPORTE		SI	REGULAR	2013	ESPECIAL	Cambio de Carrera por Vocación	"4,92"	350	85	435	40	440	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2010	100	-	
13	53	53	M	C2013	40013	ING CIVIL	 	 	 	 	81099	"MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE (V.2016)
"	81197	MINOR DE PROFUNDIDAD EN FUNDAMENTOS CIENTÍFICOS Y TECNOLÓGICOS DE LA COMPUTACIÓN (V.2016)	Track Computación	NO	REGULAR	2013	ESPECIAL	Cambio de Carrera por Vocación	"4,67"	285	40	325	85	410	ING CIVIL	LIC CCNN Y MATEMATIC()	NO		NO		NO	XIII	PARTICULAR PAGADO	2011	100	-	
14	127	127	M	C2013	40013	ING CIVIL	 	 	81013	MAJOR EN INGENIERÍA ELÉCTRICA	 	 	 	 	 	NO	NO VIGENTE RENUNCIADO	2013	ESPECIAL	Cambio de Carrera por Vocación	"5,41"	85	90	175	10	95		ING CIVIL()	NO		NO		NO	XIII	PARTICULAR FINANCIAMIENTO COMPARTIDO	2011	333	-	
15	35	35	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81008	MAJOR EN INGENIERÍA MECÁNICA	81145	MINOR DE PROFUNDIDAD EN MECATRÓNICA		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"5,25"	200	60	260	10	210	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2010	342	College	90
16	37	37	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81005	MAJOR EN GEOCIENCIAS	81135	MINOR DE PROFUNDIDAD EN GEOLOGÍA AMBIENTAL		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,83"	220	20	240	40	260	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	III	PARTICULAR PAGADO	2010	342	College	303
17	43	43	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81121	MINOR DE AMPLITUD EN HIDROLOGÍA AMBIENTAL		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,81"	200	0	200	30	230	ING CIVIL	"LIC CCNN Y MATEMATIC(), LIC CCNN Y MATEMATIC(TRAS)"	NO		NO		NO	XIII	PARTICULAR PAGADO	2010	342	College	202
18	46	46	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81010	MAJOR EN INGENIERÍA HIDRÁULICA	81147	MINOR DE PROFUNDIDAD EN HIDROGEOLOGÍA	Track Ingeniería Hidráulica	SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,96"	225	0	225	30	255	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2011	342	College	192
19	62	62	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81114	MINOR DE AMPLITUD EN SISTEMAS DE TRANSPORTE		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,74"	220	20	240	0	220	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2011	342	College	388
20	93	93	F	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81008	MAJOR EN INGENIERÍA MECÁNICA	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"5,06"	230	0	230	40	270	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	40
21	98	98	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81014	MAJOR EN INGENIERÍA DE CONSTRUCCIÓN	81151	MINOR DE PROFUNDIDAD EN OBRAS CIVILES		NO	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,69"	200	0	200	50	250	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	IX	PARTICULAR PAGADO	2012	342	College	249
22	100	100	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81013	MAJOR EN INGENIERÍA ELÉCTRICA	81149	MINOR DE PROFUNDIDAD EN ENERGÍA ELÉCTRICA		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,28"	200	0	200	40	240	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	410
23	121	121	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81022	MAJOR EN INGENIERÍA BIOLÓGICA	81107	MINOR DE PROFUNDIDAD EN BIOINGENIERÍA		NO	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,75"	200	0	200	30	230	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	V	PARTICULAR PAGADO	2012	342	College	282
24	156	156	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81125	MINOR DE AMPLITUD EN INGENIERÍA DE CONSTRUCCIÓN		NO	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,76"	210	0	210	40	250	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	43
25	159	159	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL	Track Ingeniería	NO	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,77"	200	0	200	0	200	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	103
26	182	182	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	81152	MINOR DE PROFUNDIDAD EN FUNDAMENTOS CIENTÍFICOS Y TECNOLÓGICOS DE LA COMPUTACIÓN		NO	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,74"	200	0	200	50	250	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	203
27	183	183	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81008	MAJOR EN INGENIERÍA MECÁNICA	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		NO	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,75"	200	0	200	20	220	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	55
28	186	186	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81016	MAJOR EN CIENCIAS AMBIENTALES	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"5,04"	200	0	200	20	220	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	102
29	189	189	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81118	MINOR DE AMPLITUD EN INGENIERÍA MECÁNICA		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,87"	230	0	230	30	260	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	233
30	210	210	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81125	MINOR DE AMPLITUD EN INGENIERÍA DE CONSTRUCCIÓN		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,93"	200	0	200	20	220	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	92
31	218	218	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81114	MINOR DE AMPLITUD EN SISTEMAS DE TRANSPORTE		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,89"	200	0	200	0	200	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	266
32	221	221	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81022	MAJOR EN INGENIERÍA BIOLÓGICA	81107	MINOR DE PROFUNDIDAD EN BIOINGENIERÍA		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,98"	205	0	205	50	255	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	63
33	226	226	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81010	MAJOR EN INGENIERÍA HIDRÁULICA	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL	Track Ingeniería Hidráulica	NO	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,86"	220	0	220	40	260	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	VIII	PARTICULAR PAGADO	2012	342	College	95
34	243	243	F	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81114	MINOR DE AMPLITUD EN SISTEMAS DE TRANSPORTE		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,78"	210	0	210	20	230	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	50
35	248	248	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81098	MAJOR EN INVESTIGACIÓN OPERATIVA (V.2014)	81125	MINOR DE AMPLITUD EN INGENIERÍA DE CONSTRUCCIÓN		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,59"	200	0	200	20	220	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	290
36	254	254	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81126	MINOR DE AMPLITUD EN PROGRAMACIÓN		NO	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,49"	200	0	200	60	260	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	241
37	270	270	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81114	MINOR DE AMPLITUD EN SISTEMAS DE TRANSPORTE		NO	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"5,39"	210	0	210	0	210	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	29
38	273	273	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81098	MAJOR EN INVESTIGACIÓN OPERATIVA (V.2014)	81114	MINOR DE AMPLITUD EN SISTEMAS DE TRANSPORTE		NO	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,38"	200	0	200	30	230	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	347
39	288	288	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81125	MINOR DE AMPLITUD EN INGENIERÍA DE CONSTRUCCIÓN		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"5,08"	200	0	200	10	210	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	97
40	292	292	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81098	MAJOR EN INVESTIGACIÓN OPERATIVA (V.2014)	81118	MINOR DE AMPLITUD EN INGENIERÍA MECÁNICA		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,99"	175	0	175	30	205	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	339
41	302	302	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81008	MAJOR EN INGENIERÍA MECÁNICA	81124	MINOR DE AMPLITUD EN INGENIERÍA ELÉCTRICA		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"5,41"	210	0	210	10	220	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	284
42	312	312	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81013	MAJOR EN INGENIERÍA ELÉCTRICA	81148	MINOR DE PROFUNDIDAD EN ELECTRÓNICA Y TELECOMUNICACIONES		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"5,11"	225	0	225	30	255	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	342	College	389
43	313	313	F	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81005	MAJOR EN GEOCIENCIAS	81121	MINOR DE AMPLITUD EN HIDROLOGÍA AMBIENTAL		NO	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,98"	215	0	215	20	235	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	135
44	321	321	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL	Track Ingeniería y Diseño	NO	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,96"	200	0	200	40	240	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	IV	PARTICULAR PAGADO	2012	342	College	269
45	373	373	F	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81017	MAJOR EN INGENIERÍA AMBIENTAL	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,98"	245	0	245	30	275	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	VIII	PARTICULAR PAGADO	2012	342	College	175
46	394	394	F	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81008	MAJOR EN INGENIERÍA MECÁNICA	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,72"	200	0	200	20	220	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	89
47	413	413	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81006	MAJOR EN INGENIERÍA CIVIL	10000	SELECCIONAR ESTE TEXTO PARA REALIZAR INSCRIPCIÓN	Track Ing y Gestión de la Construcción	NO	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,85"	200	0	200	20	220	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	VIII	PARTICULAR PAGADO	2012	342	College	144
48	417	417	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81001	MAJOR EN INGENIERÍA QUÍMICA	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,70"	200	0	200	30	230	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	212
49	421	421	F	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81022	MAJOR EN INGENIERÍA BIOLÓGICA	81107	MINOR DE PROFUNDIDAD EN BIOINGENIERÍA		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"5,67"	260	0	260	0	260	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	61
50	443	443	F	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81021	MAJOR EN INGENIERÍA BIOMÉDICA	81105	MINOR DE PROFUNDIDAD EN BIOMATERIALES	Track General	NO	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"5,32"	200	0	200	0	200	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	V	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	342	College	208
51	451	451	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81022	MAJOR EN INGENIERÍA BIOLÓGICA	81107	MINOR DE PROFUNDIDAD EN BIOINGENIERÍA		NO	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,89"	215	0	215	60	275	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	MUNICIPAL SUBVENCIONADO GRATUITO	2012	342	College	166
52	470	470	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81099	"MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE (V.2016)
"	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL	Track Tecnologías de la Información	NO	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,73"	200	0	200	10	210	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	MUNICIPAL SUBVENCIONADO GRATUITO	2012	342	College	44
53	471	471	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81017	MAJOR EN INGENIERÍA AMBIENTAL	81133	MINOR DE PROFUNDIDAD EN INNOVACIÓN EN SISTEMAS DE TRATAMIENTO DE AGUAS		NO	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,90"	200	0	200	20	220	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	342	College	265
54	489	489	F	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL	Track Ingeniería y Diseño	NO	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"4,68"	220	0	220	30	250	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	408
55	504	504	M	C2013	90001	LIC CCNN Y MATEMATIC	 	 	 	 	81098	MAJOR EN INVESTIGACIÓN OPERATIVA (V.2014)	81114	MINOR DE AMPLITUD EN SISTEMAS DE TRANSPORTE		SI	TRASPASO A OTRA CARRERA	2013	ORDINARIA PAA		"5,14"	220	0	220	0	220	ING CIVIL	LIC CCNN Y MATEMATIC(TRAS)	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	342	College	289
